Test ID,Title,Menu,Status,HTTP,Requested URL,Final URL,Assertion,Screenshot,Notes
guest//@1440,Retask — freelance task work with Reliance Health,"(public, no rail)",Pass,200,http://127.0.0.1:3002/,http://127.0.0.1:3002/,freelancer.md §2: PUBLIC LANDING → apply; one h1 (page-anatomies Landing: exactly one h1); no horizontal overflow (responsive.md rule 3),1440-landing-hero-and-apply.png,h1 'Work when you're free…'; title 'Retask — freelance task work…'; primary action Apply (header + CTA); no rail (public); main sw=cw=1440; ovx none
guest//@820,Retask — freelance task work with Reliance Health,"(public, no rail)",Pass,200,http://127.0.0.1:3002/,http://127.0.0.1:3002/,freelancer.md §2: PUBLIC LANDING → apply; one h1 (page-anatomies Landing: exactly one h1); no horizontal overflow (responsive.md rule 3),820-landing-hero-and-apply.png,main sw=cw=820; ovx none
guest//@390,Retask — freelance task work with Reliance Health,"(public, no rail)",Pass,200,http://127.0.0.1:3002/,http://127.0.0.1:3002/,freelancer.md §2: PUBLIC LANDING → apply; one h1 (page-anatomies Landing: exactly one h1); no horizontal overflow (responsive.md rule 3),390-landing-hero-and-apply.png,emulated viewport 390 (window floor is 500px): main sw=cw=390; docSW 390; ovx none
guest//apply@1440,Retask — freelance task work with Reliance Health,Apply (header),Pass,200,http://127.0.0.1:3002/apply,"http://127.0.0.1:3002/?apply=1 (card in modal, address bar stays /)",ROUTES.md 15.1: /apply opens the auth card at home; F-26 §14.2 fields; freelancer.md §3 consent gated on opening the privacy notice,1440-apply-step1-contact-details.png,3-step wizard in dialog 'Create your applicant account'; step 3 consent checkbox disabled until 'Read the privacy notice' opened (observed: checkbox disableable disabled → checked after accept). POST /apply 302 → /login/code
guest//login/code@1440,Enter your code — Retask,(auth card),Pass,200,http://127.0.0.1:3002/login/code,http://127.0.0.1:3002/login/code,freelancer.md §2 GUEST self-registered with password; registrations#create: 'creating an account is not signing in' → six-digit code,1440-login-code-after-apply.png,h1 'Enter your 6-digit code'; code 536799 read from dev inbox; POST /login/code → /welcome
guest//welcome@1440,You're signed in — Retask,(auth card),Fail,200,http://127.0.0.1:3002/welcome,http://127.0.0.1:3002/welcome,freelancer.md §3: Guest has five screens; a new applicant has no offer yet,1440-welcome-offer-documents-ready-claim.png,Page says 'Your application status and offer documents are ready.' to an applicant who has not taken the test — false statement (finding F11)
guest//dashboard@1440,Home — Retask,Dashboard (header label),Fail,200,http://127.0.0.1:3002/dashboard,http://127.0.0.1:3002/dashboard,"freelancer.md §2 'APTITUDE TEST issued automatically'; landing STEP 2 'Straight away, on the platform'; §3 My application: 'Status, history, what happens next'",1440-guest-dashboard-no-test-link.png,h1 'Your application'; main has 0 links; account menu = Sign out only; copy 'We've got everything we need for now… nothing to do' while /application says 'Take the aptitude test' (finding F4). Title/h1/header three labels (F11). main sw=cw
guest//application@1440,My application — Retask,My application (header label),Pass,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"ROUTES.md 15.2 /application: the applicant's own thread, 'says whose turn it is'; freelancer.md §3 My application",1440-application-thread-take-the-test.png,Before the test: 'Aptitude test not taken yet · Contract not issued'; primary action 'Take the test' → /aptitude-test. Reached by URL only — no navigation from /dashboard leads here. main sw=cw at 1440; ovx none
guest//application@820,My application — Retask,My application (header label),Pass,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"ROUTES.md 15.2 /application: the applicant's own thread, 'says whose turn it is'; freelancer.md §3 My application",820-application-thread-take-the-test.png,Before the test: 'Aptitude test not taken yet · Contract not issued'; primary action 'Take the test' → /aptitude-test. Reached by URL only — no navigation from /dashboard leads here. main sw=cw at 820; ovx none
guest//application@390,My application — Retask,My application (header label),Pass,200,http://127.0.0.1:3002/application,http://127.0.0.1:3002/application,"ROUTES.md 15.2 /application: the applicant's own thread, 'says whose turn it is'; freelancer.md §3 My application",390-application-thread-take-the-test.png,Before the test: 'Aptitude test not taken yet · Contract not issued'; primary action 'Take the test' → /aptitude-test. Reached by URL only — no navigation from /dashboard leads here. main sw=cw at 390; ovx none
guest//aptitude-test@1440,Aptitude test — Retask,Aptitude test (header label),Fail,200,http://127.0.0.1:3002/aptitude-test,http://127.0.0.1:3002/aptitude-test,"freelancer.md §3: 'Two parts… same split-screen interface as real work'; §5 work screen 'autosave, no explicit save'; F-27 'all eight [categories] are named in the instructions on the test screen'",1440-aptitude-test-split-screen-start.png,"Eight categories named (Pass). Layout is a typed value strip above six inputs in one 'Principal' block — not the scan-left/form-right work screen, one block not two parts, no visible timer despite 'About 45 minutes'. A reload (viewport emulation) resumed the same attempt but emptied every typed value and flag (no autosave) — finding F7. main sw=cw at 1440; ovx none"
guest//aptitude-test@820,Aptitude test — Retask,Aptitude test (header label),Fail,200,http://127.0.0.1:3002/aptitude-test,http://127.0.0.1:3002/aptitude-test,"freelancer.md §3: 'Two parts… same split-screen interface as real work'; §5 work screen 'autosave, no explicit save'; F-27 'all eight [categories] are named in the instructions on the test screen'",820-aptitude-test-filled-three-flags.png,"Eight categories named (Pass). Layout is a typed value strip above six inputs in one 'Principal' block — not the scan-left/form-right work screen, one block not two parts, no visible timer despite 'About 45 minutes'. A reload (viewport emulation) resumed the same attempt but emptied every typed value and flag (no autosave) — finding F7. main sw=cw at 820; ovx none"
guest//aptitude-test@390,Aptitude test — Retask,Aptitude test (header label),Fail,200,http://127.0.0.1:3002/aptitude-test,http://127.0.0.1:3002/aptitude-test,"freelancer.md §3: 'Two parts… same split-screen interface as real work'; §5 work screen 'autosave, no explicit save'; F-27 'all eight [categories] are named in the instructions on the test screen'",390-aptitude-test-filled-three-flags.png,"Eight categories named (Pass). Layout is a typed value strip above six inputs in one 'Principal' block — not the scan-left/form-right work screen, one block not two parts, no visible timer despite 'About 45 minutes'. A reload (viewport emulation) resumed the same attempt but emptied every typed value and flag (no autosave) — finding F7. main sw=cw at 390; ovx none"
guest//aptitude-test/result@1440,Test result — Retask,Test result (header label),Pass,200,http://127.0.0.1:3002/aptitude-test/result,http://127.0.0.1:3002/aptitude-test/result,F-27: accuracy and judgement reported SEPARATELY; false-positive rate scored; ROUTES 15.2 /aptitude-test/result,1440-aptitude-result-after-submit.png,POST /aptitude-test → /aptitude-test/result. 'You passed' Accuracy 100% · Judgement 85% · Flags with nothing behind them 0%. Copy promises 'Your vendor contract… will arrive by email for signature' — no mail was sent (F3). main sw=cw at 1440
guest//aptitude-test/result@820,Test result — Retask,Test result (header label),Pass,200,http://127.0.0.1:3002/aptitude-test/result,http://127.0.0.1:3002/aptitude-test/result,F-27: accuracy and judgement reported SEPARATELY; false-positive rate scored; ROUTES 15.2 /aptitude-test/result,820-aptitude-result-after-submit.png,POST /aptitude-test → /aptitude-test/result. 'You passed' Accuracy 100% · Judgement 85% · Flags with nothing behind them 0%. Copy promises 'Your vendor contract… will arrive by email for signature' — no mail was sent (F3). main sw=cw at 820
guest//aptitude-test/result@390,Test result — Retask,Test result (header label),Pass,200,http://127.0.0.1:3002/aptitude-test/result,http://127.0.0.1:3002/aptitude-test/result,F-27: accuracy and judgement reported SEPARATELY; false-positive rate scored; ROUTES 15.2 /aptitude-test/result,390-aptitude-result-after-submit.png,POST /aptitude-test → /aptitude-test/result. 'You passed' Accuracy 100% · Judgement 85% · Flags with nothing behind them 0%. Copy promises 'Your vendor contract… will arrive by email for signature' — no mail was sent (F3). main sw=cw at 390
