Journey,Step,Template,Recipient,Status,Expected By,Observed,Inbox Evidence,Severity,Notes
Applicant,1 account created via /apply (POST /apply 302 → /login/code),sign-in-code,guest (walk.20260916a@example.test),Sent,app/models/notifications/catalogue.rb:450 key sign-in-code 'Your Retask sign-in code'; registrations#create start_verification_for,"Subject 'Your Retask sign-in code' · To walk.20260916a@example.test · Sep 16, 2026 01:55:49 PM WAT (12:55:49Z); body 'Code 536799'",1440-inbox-after-apply-only-sign-in-code.png,,"Body copy says 'Someone signed in with your email address and password' although the trigger was account creation, not a sign-in (F11)"
Applicant,1 account created via /apply,application-received,guest,Missing,app/models/notifications/catalogue.rb:28 key application-received 'We've got your application' (group Applicant); guest dashboard copy 'We'll email you at every step',Inbox after the step: 1 message only (sign-in code),1440-inbox-after-apply-only-sign-in-code.png,S3,"grep -rn 'notify(""' app → the only callers are access-ended, contract-executed, payout-released, vendor-onboarding; application-received has no caller (F3)"
Applicant,"1b applicant signed in, test issued automatically (freelancer.md §2)",test-invite,guest,Missing,app/models/notifications/catalogue.rb:46 key test-invite 'Your aptitude test is ready'; freelancer.md §2 'APTITUDE TEST issued automatically',Inbox unchanged after /login/code → /welcome → /dashboard: 1 message,1440-inbox-after-apply-only-sign-in-code.png,S2,No caller in app/ (F3). Combined with the dashboard dead end (F4) the applicant is never told where the test is
Applicant,2 test submitted and passed (POST /aptitude-test → /aptitude-test/result),test-passed,guest,Missing,app/models/notifications/catalogue.rb:65 key test-passed 'You passed the aptitude test',Inbox after the step (13:0xZ): still 1 message,1440-inbox-end-of-walk-three-messages.png,S2,No caller in app/ (F3)
Applicant,3 contract issued automatically on the pass,contract-issued,guest,Missing,app/models/notifications/catalogue.rb:82 key contract-issued 'Your contract is ready to sign'; result page copy 'Your vendor contract is being prepared and will arrive by email for signature'; freelancer.md §2 CONTRACT ISSUED → awaiting vendor signature,Inbox after the step: still 1 message; /contract-archive shows vcn_1K3PHvaFpkZi Issued,1440-inbox-end-of-walk-three-messages.png,S1,"No caller in app/ (grep). The applicant is promised an email that never comes and has no other way to sign (F2, F3)"
Applicant,4 signature → countersignature,contract-executed,guest,Blocked,"app/models/contract.rb:187 NotificationMailer.notify(""contract-executed"") inside record_signature!",—,,,"Signature could not be performed through the server (no control, no Zoho); the declared stand-in raised ArgumentError before reaching this line. A stand-in's mail would in any case die with the runner process under the async adapter (stand-ins.md)"
Applicant,4 signature → IT told a contract is executed,vendor-onboarding,IT,Blocked,"app/models/contract.rb:200 NotificationMailer.notify(""vendor-onboarding"")",—,,,Same as the previous row
Admin sign-in,one-time link requested from /login/link (POST → /login/link/sent),magic-link,admin (sweep.admin@example.test),Sent,app/models/notifications/catalogue.rb:474 key magic-link 'Your one-time sign-in link',"Subject 'Your one-time sign-in link' · To sweep.admin@example.test · Sep 16, 2026 02:04:36 PM WAT (13:04:36Z)",1440-inbox-end-of-walk-three-messages.png,,"Link host in the mail is http://localhost:3000 (mailer default_url_options), not the QA server on 3002 — rewritten by hand to follow it"
Freelancer sign-in,one-time link requested from /login/link,magic-link,freelancer (sweep.freelancer@example.test),Sent,app/models/notifications/catalogue.rb:474 key magic-link,"Subject 'Your one-time sign-in link' · To sweep.freelancer@example.test · Sep 16, 2026 02:09:51 PM WAT (13:09:51Z)",1440-inbox-end-of-walk-three-messages.png,,
Admin W6 suspension,suspension applied / lifted,(none exists),"freelancer, both addresses",Blocked,"admin.md §7.2 'Suspension applied or lifted → The freelancer, both addresses'",—,,,"Step not performable (F1). Note for the catalogue: no suspension template exists in Notifications::Catalogue (keys listed at catalogue.rb; only access-ended covers stopping), and app/models/admin_shell/live_actions.rb calls no mailer — even a working suspend would send nothing (F10)"
Admin W5 offboarding,offboarding decided,access-ended,"freelancer, both addresses; IT",Blocked,"app/models/notifications/catalogue.rb:257 key access-ended 'Your Retask access has ended'; admin.md §7.2 'Offboarding decided → the freelancer, both addresses, and IT'",—,,,"Step not performable: the Investigate modal returns 404 (F1). The template does have a caller (app/models/user.rb), so this row is Blocked rather than Missing"
